timestamp,path,class,name
2014/09/11 19:16:30,/images/birdPictures/水鸟类/苍鹭/BD6I1938.JPG,水鸟类,苍鹭
2014/09/14 16:13:22,/images/birdPictures/水鸟类/白鹭/BD6I2010.JPG,水鸟类,白鹭
2014/09/14 16:21:03,/images/birdPictures/水鸟类/白鹭/BD6I2035.JPG,水鸟类,白鹭
2014/09/14 18:53:19,/images/birdPictures/水鸟类/池鹭/BD6I2054.JPG,水鸟类,池鹭
2014/09/14 18:55:09,/images/birdPictures/水鸟类/池鹭/BD6I2056.JPG,水鸟类,池鹭
2014/09/26 11:14:35,/images/birdPictures/水鸟类/池鹭/IMG_8542.CR2,水鸟类,池鹭
2014/09/26 11:14:35,/images/birdPictures/水鸟类/池鹭/IMG_8542.JPG,水鸟类,池鹭
2014/09/26 11:25:42,/images/birdPictures/林鸟类/林鸟类_other/IMG_8552.JPG,林鸟类,林鸟类_other
2014/09/26 11:27:08,/images/birdPictures/林鸟类/林鸟类_other/IMG_8561.JPG,林鸟类,林鸟类_other
2014/09/26 11:33:48,/images/birdPictures/林鸟类/林鸟类_other/IMG_8582.JPG,林鸟类,林鸟类_other
2014/10/21 10:20:45,/images/birdPictures/林鸟类/白喉黄臀鹎/BD6I1117 - 副本_副本.jpg,林鸟类,白喉黄臀鹎
2014/10/26 08:20:28,/images/birdPictures/林鸟类/林鸟类_other/BD6I1243_副本.jpg,林鸟类,林鸟类_other
2014/10/26 08:29:31,/images/birdPictures/林鸟类/林鸟类_other/BD6I1269_副本.jpg,林鸟类,林鸟类_other
2014/10/26 08:33:42,/images/birdPictures/林鸟类/林鸟类_other/BD6I1274_副本.jpg,林鸟类,林鸟类_other
2014/10/26 09:01:01,/images/birdPictures/水鸟类/黑水鸡/BD6I1509_副本.jpg,水鸟类,黑水鸡
2014/10/26 11:19:25,/images/birdPictures/林鸟类/白喉黄臀鹎/BD6I1594_副本.jpg,林鸟类,白喉黄臀鹎
2014/10/26 11:21:01,/images/birdPictures/林鸟类/白喉黄臀鹎/BD6I1602_副本.jpg,林鸟类,白喉黄臀鹎
2014/10/29 15:52:48,/images/birdPictures/林鸟类/暗绿绣眼鸟/BD6I2131_副本.jpg,林鸟类,暗绿绣眼鸟
2014/10/29 15:52:54,/images/birdPictures/林鸟类/暗绿绣眼鸟/BD6I2139_副本.jpg,林鸟类,暗绿绣眼鸟
2014/10/29 15:52:55,/images/birdPictures/林鸟类/暗绿绣眼鸟/BD6I2141_副本.jpg,林鸟类,暗绿绣眼鸟
2014/10/29 15:55:59,/images/birdPictures/林鸟类/暗绿绣眼鸟/BD6I2150_副本.jpg,林鸟类,暗绿绣眼鸟
2014/10/29 15:55:59,/images/birdPictures/林鸟类/暗绿绣眼鸟/BD6I2151_副本.jpg,林鸟类,暗绿绣眼鸟
2014/10/29 16:27:22,/images/birdPictures/林鸟类/白喉黄臀鹎/BD6I2157_副本.jpg,林鸟类,白喉黄臀鹎
