timestamp,path,class,name,
2014/09/11 19:16:30,images/birdPictures/林鸟类/凤头雀嘴鹎/BD6I4236_副本.jpg,林鸟类,凤头雀嘴鹎,
2014/09/14 16:13:22,images/birdPictures/林鸟类/凤头雀嘴鹎/BD6I4273_副本.jpg,林鸟类,凤头雀嘴鹎,
2014/09/14 16:21:03,images/birdPictures/林鸟类/凤头雀嘴鹎/BD6I4261_副本.jpg,林鸟类,凤头雀嘴鹎,
2014/09/14 18:53:19,images/birdPictures/林鸟类/凤头雀嘴鹎/BD6I4033_副本.jpg,林鸟类,凤头雀嘴鹎,
2014/09/14 18:55:09,images/birdPictures/林鸟类/凤头雀嘴鹎/BD6I5212_副本.jpg,林鸟类,凤头雀嘴鹎,
2014/09/26 11:14:35,images/birdPictures/林鸟类/凤头雀嘴鹎/BD6I4023_副本.jpg,林鸟类,凤头雀嘴鹎,
2014/09/26 11:14:35,images/birdPictures/林鸟类/凤头雀嘴鹎/BD6I4291_副本.jpg,林鸟类,凤头雀嘴鹎,
2014/09/26 11:25:42,images/birdPictures/林鸟类/凤头雀嘴鹎/BD6I5211_副本.jpg,林鸟类,凤头雀嘴鹎,
2014/09/26 11:27:08,images/birdPictures/林鸟类/黑鸢/BD6I6337_副本.jpg,林鸟类,黑鸢,
2014/09/26 11:33:48,images/birdPictures/林鸟类/黑鸢/BD6I6338.JPG,林鸟类,黑鸢,
2014/10/21 10:20:45,images/birdPictures/林鸟类/黑鸢/BD6I6339.JPG,林鸟类,黑鸢,
2014/10/26 08:20:28,images/birdPictures/林鸟类/黑鸢/BD6I6348_副本.jpg,林鸟类,黑鸢,
2014/10/26 08:29:31,images/birdPictures/林鸟类/黑鸢/BD6I6349.JPG,林鸟类,黑鸢,
2014/10/26 08:33:42,images/birdPictures/林鸟类/黑鸢/BD6I6348.JPG,林鸟类,黑鸢,
2014/10/26 09:01:01,images/birdPictures/林鸟类/黑鸢/BD6I6350_副本.jpg,林鸟类,黑鸢,
2014/10/26 11:19:25,images/birdPictures/林鸟类/黑鸢/BD6I6921_副本.jpg,林鸟类,黑鸢,
2014/10/26 11:21:01,images/birdPictures/林鸟类/黑鸢/BD6I3366_副本.jpg,林鸟类,黑鸢,
2014/10/29 15:52:48,images/birdPictures/林鸟类/黑鸢/BD6I6340.JPG,林鸟类,黑鸢,
2014/10/29 15:52:54,images/birdPictures/林鸟类/黑鸢/BD6I6341.JPG,林鸟类,黑鸢,
2014/10/29 15:52:55,images/birdPictures/林鸟类/黑鸢/BD6I6343.JPG,林鸟类,黑鸢,
2014/10/29 15:55:59,images/birdPictures/林鸟类/黑鸢/BD6I6342.JPG,林鸟类,黑鸢,
2014/10/29 15:55:59,images/birdPictures/林鸟类/黑鸢/BD6I6346.JPG,林鸟类,黑鸢,
2014/10/29 16:27:22,images/birdPictures/林鸟类/黑鸢/BD6I6347.JPG,林鸟类,黑鸢,
2014/10/29 16:49:30,images/birdPictures/林鸟类/黑鸢/BD6I6345.JPG,林鸟类,黑鸢,
2014/10/29 16:55:59,images/birdPictures/林鸟类/黑鸢/BD6I6344.JPG,林鸟类,黑鸢,
2014/10/29 16:56:01,images/birdPictures/林鸟类/黑鸢/BD6I6350.JPG,林鸟类,黑鸢,
2014/10/29 16:59:47,images/birdPictures/林鸟类/黑鸢/BD6I6337.JPG,林鸟类,黑鸢,
2014/10/29 16:59:52,images/birdPictures/林鸟类/黑鸢/BD6I6336.JPG,林鸟类,黑鸢,
2014/10/29 16:59:55,images/birdPictures/林鸟类/黑鸢/BD6I6335.JPG,林鸟类,黑鸢,
2014/10/29 17:02:14,images/birdPictures/林鸟类/灰头隼/BD6I7566_副本.jpg,林鸟类,灰头隼,
